comment,comment_clean,polarity,category
That’s what a president sounds like.,Thats what a president sounds like,0.0,negative
That was like a wwe entrance 🤣,That was like a wwe entrance ,0.0,negative
6 ft tall with 3 hundred and 10 pounds JOEEEEE BIDENNNNN (WWE FIGHT), ft tall with  hundred and  pounds JOEEEEE BIDENNNNN WWE FIGHT,0.0,negative
He looks like old Captain America from end of end-game 😂😂,He looks like old Captain America from end of endgame ,0.1,positive
His speech made me so emotional. Im not even American but that speech was everything. Well done Joe👏👏👏😭😍,His speech made me so emotional Im not even American but that speech was everything Well done Joe,0.0,negative
"No President ever:
Joe Biden: ""Comes Out like its a WWE Fight SMACK DOWN""","No President ever
Joe Biden Comes Out like its a WWE Fight SMACK DOWN",-0.15555555555555559,negative
Surprised the Lion King song didnt come on when kamala announced joe,Surprised the Lion King song didnt come on when kamala announced joe,0.1,positive
"NOT MY JOE, NOT MY HOE!",NOT MY JOE NOT MY HOE,0.0,negative
United  States of America .💕 🇺🇲the from Philippines,United  States of America  the from Philippines,0.0,negative
Reminds me of that scene in 1984,Reminds me of that scene in ,0.0,negative
The best thing Biden did: he didn't mention Trump in a word,The best thing Biden did he didnt mention Trump in a word,1.0,positive
Plot twist: Joe Briben is not president-elect.,Plot twist Joe Briben is not presidentelect,0.0,negative
Biden tests negative for President,Biden tests negative for President,-0.3,negative
Look at all our new brothers and sisters....Amen,Look at all our new brothers and sistersAmen,0.13636363636363635,positive
"Hey! It's that funny guy from Family Guy, the one with popsicles and shoulder rubs!",Hey Its that funny guy from Family Guy the one with popsicles and shoulder rubs,0.25,positive
this guys sounds like a president to me,this guys sounds like a president to me,0.0,negative
"Lovely😊 orator😍 Hats off Sir😁, congratulations for ur upcoming success🏆💪",Lovely orator Hats off Sir congratulations for ur upcoming success,0.4,positive
"WE WERE WATCHING THE ENTIRE THING WITH MY CLASS IN GERMANY TODAY! WE LOVE YOU, JOE💙🇩🇪",WE WERE WATCHING THE ENTIRE THING WITH MY CLASS IN GERMANY TODAY WE LOVE YOU JOE,0.25,positive
Rejects!,Rejects,0.0,negative
Invest as much money as possible. Nobody knows the future and right now it does not look bright.,Invest as much money as possible Nobody knows the future and right now it does not look bright,0.23714285714285716,positive
"Biden, at 77, jogs out. Trump hasn't jogged since '77.",Biden at  jogs out Trump hasnt jogged since ,0.0,negative
TimE to HeAllL,TimE to HeAllL,0.0,negative
Aren't they still counting votes? If votes are within 1% between candidates the states are legally required to recount i thought?,Arent they still counting votes If votes are within  between candidates the states are legally required to recount i thought,0.2,positive
Happy New Year ! Usa,Happy New Year  Usa,0.4681818181818182,positive
Only time can tell. I hope it'll be for the better.,Only time can tell I hope itll be for the better,0.25,positive
"""I see no red states or blue states, only united states"", this is how a president talks!",I see no red states or blue states only united states this is how a president talks,0.0,negative
Biden’s entrance looks like something straight out of wrestlemania,Bidens entrance looks like something straight out of wrestlemania,0.2,positive
that microphone was really lucky  it didnt  get its hair sniffed,that microphone was really lucky  it didnt  get its hair sniffed,0.3333333333333333,positive
I hope that this group stayed separate yet EQUAL!,I hope that this group stayed separate yet EQUAL,0.0,negative
im from sweden but still crying of Joe :),im from sweden but still crying of Joe ,-0.2,negative
"Why can’t trump go to the whitehouse anymore?

Cause it’s for-biden","Why cant trump go to the whitehouse anymore

Cause its forbiden",0.0,negative
Love America from across the pond 🇬🇧~ 🇺🇸,Love America from across the pond  ,0.5,positive
"Congratulations, your new master puppet was chosen for you.",Congratulations your new master puppet was chosen for you,0.13636363636363635,positive
🔥,,0.0,negative
